Date,Open,High,Low,Close,Adj Close,Volume
2022-12-05,38.009998,38.290001,37.240002,37.599998,37.545425,6914000
2022-12-06,38.000000,38.090000,36.919998,37.709999,37.655270,5641000
2022-12-07,37.709999,38.000000,36.849998,37.259998,37.205921,4978700
2022-12-08,37.020000,37.680000,36.700001,37.200001,37.146011,5710700
2022-12-09,37.220001,37.610001,36.950001,37.099998,37.046154,4345000
2022-12-12,36.950001,37.040001,35.650002,36.070000,36.017647,10669500
2022-12-13,36.070000,37.230000,35.450001,35.790001,35.738056,10196600
2022-12-14,35.799999,37.459999,35.660000,37.060001,37.006214,14185900
2022-12-15,36.500000,37.680000,36.360001,37.080002,37.026184,8144300
2022-12-16,36.990002,37.549999,36.759998,37.450001,37.395645,12123500
2022-12-19,37.689999,38.430000,37.650002,38.119999,38.119999,6603400
2022-12-20,38.110001,39.139999,38.110001,38.430000,38.430000,7623900
2022-12-21,38.580002,38.840000,37.950001,38.400002,38.400002,6900900
2022-12-22,38.450001,39.099998,38.450001,38.939999,38.939999,5599500
2022-12-23,39.160000,39.380001,38.070000,38.500000,38.500000,9476400
2022-12-26,38.330002,38.740002,37.910000,38.189999,38.189999,2339100
2022-12-27,38.500000,38.520000,37.779999,38.009998,38.009998,4735700
2022-12-28,38.220001,39.330002,38.189999,38.700001,38.700001,5410500
2022-12-29,38.840000,38.990002,38.250000,38.509998,38.509998,6444500
2023-01-02,38.500000,38.500000,37.740002,38.099998,38.099998,3017700
2023-01-03,38.110001,38.369999,36.889999,37.150002,37.150002,5662900
2023-01-04,37.330002,37.689999,36.660000,37.400002,37.400002,6169800
2023-01-05,37.590000,37.900002,37.259998,37.480000,37.480000,6660600
2023-01-06,37.490002,38.270000,37.299999,38.029999,38.029999,4071700
2023-01-09,38.000000,38.299999,37.220001,37.919998,37.919998,5730600
2023-01-10,37.520000,37.910000,37.080002,37.549999,37.549999,6556000
2023-01-11,37.490002,38.700001,37.200001,38.599998,38.599998,5982900
2023-01-12,38.540001,38.990002,38.200001,38.509998,38.509998,5376000
2023-01-13,38.189999,39.360001,37.919998,38.970001,38.970001,4957200
2023-01-16,0.000000,0.000000,0.000000,37.689999,37.689999,0
